BUDGET CATEGORY,CATEGORY DETAIL,MONTHLY BUDGET,ACTIVE (Y/N),NOTES
BANK FEES,,40.0,Y,
BANK FEES,Bank Fees,40.0,,
CASH WITHDRAWAL,,0.0,Y,
CASH WITHDRAWAL,cash or outgoing payment,0.0,,
DINING OUT,,600.0,Y,
DINING OUT,Eating Out & Ent,600.0,,
EDUCATION,,1500.0,Y,
EDUCATION,Activities (MJ),100.0,,
EDUCATION,School ARC STUDIO,1400.0,,
ENTERTAINMENT,,150.0,Y,
ENTERTAINMENT,Media (Subscriptions),150.0,,
FARM EXPENSES,,200.0,Y,
FARM EXPENSES,Farm Rel Exp,200.0,,
GROCERIES,,1420.0,Y,
GROCERIES,Groceries,1200.0,,
GROCERIES,Specialty Groceries,100.0,,
GROCERIES,Weed & Alcohol Total,120.0,,
HELOC PYMNT,,3000.0,Y,
HELOC PYMNT,HELOC PYMNT,3000.0,,
HEALTH,,60.0,Y,
HEALTH,Pharmacy,60.0,,
HOME EXPENSES,,980.0,Y,
HOME EXPENSES,Insurance,640.0,,
HOME EXPENSES,Pet Care,240.0,,
HOME EXPENSES,Renos Repairs,100.0,,
SHOPPING,,300.0,Y,
SHOPPING,Misc,300.0,,
TAXES,Taxes,470.0,Y,
TAXES,Taxes,470.0,,
TRANSPORTATION,,2623.26,Y,
TRANSPORTATION,Vehicle (Ferry),580.0,,
TRANSPORTATION,Vehicle (Lease),983.26,,
TRANSPORTATION,Vehicle (Permits),30.0,,
TRANSPORTATION,Vehicle (Repairs maint),100.0,,
TRANSPORTATION,Vehicles (Gas),900.0,,
TRANSPORTATION,Vehicles (Parking),30.0,,
UTILITIES,,647.0,Y,
UTILITIES,Utilities (Cell),222.0,,
UTILITIES,Utilities (Home Phone),0.0,,intentionally excluded
UTILITIES,Utilities (Hydro),425.0,,
WORK EXPENSES,,320.0,Y,
WORK EXPENSES,Work Rel Exp,320.0,,
