RULE_ID,BUDGET CATEGORY,CATEGORY DETAIL,MERCHANT KEY WORDS,MERCHANT KEY WORDS.1,MERCHANT KEY WORDS.2,MERCHANT KEY WORDS.3,MERCHANT KEY WORDS.4,MERCHANT KEY WORDS.5,MERCHANT KEY WORDS.6,MERCHANT KEY WORDS.7,MERCHANT KEY WORDS.8,MERCHANT KEY WORDS.9,MERCHANT KEY WORDS.10,MERCHANT KEY WORDS.11,MERCHANT KEY WORDS.12,MERCHANT KEY WORDS.13,MERCHANT KEY WORDS.14,MERCHANT KEY WORDS.15,MERCHANT KEY WORDS.16,MERCHANT KEY WORDS.17,MERCHANT KEY WORDS.18,MERCHANT KEY WORDS.19,MERCHANT KEY WORDS.20,MERCHANT KEY WORDS.21,MERCHANT KEY WORDS.22,MERCHANT KEY WORDS.23,MERCHANT KEY WORDS.24,MERCHANT KEY WORDS.25,MERCHANT KEY WORDS.26,MERCHANT KEY WORDS.27,MERCHANT KEY WORDS.28,MERCHANT KEY WORDS.29
0,BANK FEES,bank fee,frais compte,compte,frais,monthly,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CASH WITHDRAWAL,cash or outgoing payment,envoi vfc,envoi,atm w/d,retrait gab,retrait atm,td atm,gab td,,,,,,,,,,,,,,,,,,,,,,,
2,DINING OUT,Eating Out & Ent,petit hector,oscar shawa,les brules,sushi shop,tst diner,anina caf,cafe bist,resto bar,tst-beechwood,tst zaks,relais,brules,hector,diner,notre,petit,sushi,anina,oscar,shawa,zaks,dame,bist,le petit hector,le cafe du bist,la fringale,a outrance,a&w ch de masso _f,a&w,ls waterfield a
3,EDUCATION,Activities (Mj),centre,act villed,villed,couture,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EDUCATION,School ARC STUDIO,arc,studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ENTERTAINMENT,Media (Subscriptions),ultimate guitar,chat gpt,expressvpn,remarkable,youtube,audible,netflix,spotify,icloud,google,prime,apple,google google,apple com,canva i04,free for,google,paypal,apple,canva,free,i04,angel,dropbox,,,,,,
6,FARM EXPENSES,Farm Rel Exp,bmr notre,bmr not,notre,bmr,bmr express not,coop,bmr express notre dame,,,,,,,,,,,,,,,,,,,,,,,
7,GROCERIES,Groceries,metro rev,farm boy,maxi cie,metro,farm,maxi,vert,iga,loblaws,muckleston,,,,,,,,,,,,,,,,,,,,
8,GROCERIES,SPECIALTY GROCERIES,black walnut,ferme brylee,bread roses,moisso,walnut,brylee,black,bread,roses,ferme,boucherie,,,,,,,,,,,,,,,,,,,
9,GROCERIES,Weed & Alcohol Total,buckin,sqdc,saq,lcbo/rao,,,,,,,,,,,,,,,,,,,,,,,,,,
10,HEALTH,Pharmacy,pharmacie fayek,jean coutu,uniprix,pharma,phar,fayek,drug,,,,,,,,,,,,,,,,,,,,,,,
11,HELOC PYMNT,HELOC PYMNT,iq360,jg511,ri175,wh404,,,,,,,,,,,,,,,,,,,,,,,,,,
12,HOME EXPENSES,Insurance,estrie richel,dag ass,estrie,richel,dag,,,,,,,,,,,,,,,,,,,,,,,,,
13,HOME EXPENSES,Pet Care,pitou minou,pitou,minou,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,HOME EXPENSES,Renos Repairs,materiaux j lajeunesse,lajeunesse,tire,materiaux,,,,,,,,,,,,,,,,,,,,,,,,,,
